Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,173.199997,173.199997,168.000000,168.899994,168.899994,33279372
2020-02-11,171.850006,175.149994,168.399994,169.750000,169.750000,42868276
2020-02-12,173.000000,173.300003,169.000000,170.949997,170.949997,34621395
2020-02-13,171.350006,172.350006,168.100006,169.500000,169.500000,25049848
2020-02-14,172.000000,176.199997,168.300003,169.100006,169.100006,56676430
2020-02-17,170.399994,171.350006,166.350006,169.100006,169.100006,32893274
2020-02-18,168.000000,168.000000,158.600006,161.600006,161.600006,52744122
2020-02-19,162.850006,164.600006,153.050003,158.050003,158.050003,78914233
2020-02-20,157.949997,162.300003,156.000000,158.500000,158.500000,54328194
2020-02-24,154.000000,155.899994,149.600006,150.649994,150.649994,39706007
2020-02-25,152.199997,153.399994,147.449997,149.899994,149.899994,52719851
2020-02-26,146.899994,147.899994,143.699997,144.550003,144.550003,47605927
2020-02-27,144.149994,146.750000,141.100006,145.250000,145.250000,51328153
2020-02-28,138.850006,139.600006,127.050003,128.949997,128.949997,94469619
2020-03-02,133.000000,133.899994,123.800003,125.400002,125.400002,111585697
2020-03-03,127.500000,131.399994,125.250000,130.350006,130.350006,86765576
2020-03-04,129.600006,129.600006,120.550003,126.199997,126.199997,97546902
2020-03-05,127.550003,129.149994,124.250000,125.750000,125.750000,87795649
2020-03-06,115.000000,117.300003,112.800003,114.199997,114.199997,83971462
2020-03-09,109.000000,109.849998,104.250000,105.699997,105.699997,81549809
2020-03-11,104.849998,106.500000,97.800003,98.900002,98.900002,111146790
2020-03-12,91.099998,94.900002,84.099998,88.000000,88.000000,143550830
2020-03-13,81.900002,94.150002,78.050003,89.750000,89.750000,106151311
2020-03-16,85.599998,87.650002,82.199997,82.949997,82.949997,73702778
2020-03-17,83.050003,85.000000,77.400002,77.949997,77.949997,71842549
2020-03-18,79.900002,80.449997,75.099998,75.500000,75.500000,70105052
2020-03-19,70.000000,76.500000,68.750000,72.949997,72.949997,68122549
2020-03-20,74.000000,79.599998,72.650002,77.300003,77.300003,86043342
2020-03-23,70.000000,72.000000,66.000000,66.199997,66.199997,34184325
2020-03-24,69.900002,71.500000,63.500000,68.550003,68.550003,49551990
2020-03-25,67.750000,71.699997,67.250000,70.250000,70.250000,57713806
2020-03-26,71.449997,73.500000,68.300003,70.800003,70.800003,63821068
2020-03-27,72.050003,75.900002,69.349998,70.699997,70.699997,58814757
2020-03-30,68.800003,70.000000,67.250000,68.150002,68.150002,35278010
2020-03-31,70.599998,71.500000,68.199997,71.050003,71.050003,46157286
2020-04-01,70.500000,71.650002,67.550003,67.949997,67.949997,38149007
2020-04-03,66.900002,66.900002,64.800003,65.300003,65.300003,35346301
2020-04-07,68.550003,69.300003,66.900002,67.250000,67.250000,42066469
2020-04-08,66.500000,71.599998,65.400002,67.599998,67.599998,82179303
2020-04-09,69.599998,76.250000,69.099998,74.599998,74.599998,112677273
2020-04-13,76.000000,77.599998,72.699997,74.250000,74.250000,70409900
2020-04-15,75.400002,78.699997,71.949997,72.900002,72.900002,81121081
2020-04-16,71.750000,75.400002,71.000000,74.650002,74.650002,47910164
2020-04-17,78.300003,78.300003,74.699997,76.849998,76.849998,58333485
2020-04-20,76.849998,83.400002,75.500000,80.449997,80.449997,125425355
2020-04-21,78.000000,78.000000,74.000000,74.650002,74.650002,58248325
2020-04-22,74.449997,76.550003,72.550003,75.900002,75.900002,56529293
2020-04-23,76.750000,78.650002,75.400002,75.650002,75.650002,50366856
2020-04-24,75.000000,76.900002,74.000000,74.199997,74.199997,40047438
2020-04-27,75.900002,76.199997,74.800003,75.250000,75.250000,27835340
2020-04-28,75.650002,78.199997,75.199997,76.949997,76.949997,34825405
2020-04-29,77.449997,79.300003,76.550003,78.150002,78.150002,40784783
2020-04-30,85.949997,93.750000,85.949997,93.250000,93.250000,170634033
2020-05-04,87.000000,87.199997,81.500000,83.900002,83.900002,91159477
2020-05-05,86.000000,86.800003,80.400002,80.900002,80.900002,57122148
2020-05-06,81.550003,83.949997,80.349998,83.199997,83.199997,53739248
2020-05-07,82.900002,84.650002,82.099998,82.500000,82.500000,31159970
2020-05-08,84.500000,84.949997,80.550003,81.050003,81.050003,35362751
2020-05-11,81.449997,90.650002,81.400002,86.099998,86.099998,152588401
2020-05-12,85.949997,87.699997,83.500000,86.199997,86.199997,77551590
2020-05-13,92.500000,92.500000,86.250000,87.199997,87.199997,68086031
2020-05-14,83.949997,85.300003,82.550003,83.800003,83.800003,46340453
2020-05-15,84.699997,85.349998,82.800003,84.349998,84.349998,38592209
2020-05-18,84.500000,84.500000,79.599998,80.650002,80.650002,44221170
2020-05-19,82.500000,85.650002,81.500000,81.800003,81.800003,65378983
2020-05-20,81.250000,84.400002,80.699997,83.449997,83.449997,36351053
2020-05-21,83.099998,85.199997,82.900002,84.099998,84.099998,37290144
2020-05-22,83.400002,83.900002,82.000000,82.800003,82.800003,29252676
2020-05-26,83.900002,85.699997,82.599998,83.099998,83.099998,38014864
2020-05-27,84.099998,86.000000,84.000000,84.550003,84.550003,57947903
2020-05-28,86.000000,88.150002,84.550003,87.000000,87.000000,96179680
2020-05-29,85.550003,87.500000,84.650002,87.000000,87.000000,80813537
2020-06-01,88.900002,91.199997,88.000000,89.550003,89.550003,71070852
2020-06-02,90.000000,97.300003,89.750000,96.500000,96.500000,125407771
2020-06-03,100.000000,101.449997,97.400002,98.750000,98.750000,90598067
2020-06-04,99.000000,101.400002,96.800003,98.500000,98.500000,72078707
2020-06-05,100.449997,112.449997,99.050003,110.750000,110.750000,187209208
2020-06-08,114.000000,119.150002,113.349998,115.449997,115.449997,136943010
2020-06-09,117.449997,117.900002,110.250000,111.449997,111.449997,79473751
2020-06-10,111.000000,113.000000,108.500000,111.400002,111.400002,84038431
2020-06-11,109.900002,111.150002,105.000000,106.150002,106.150002,55485897
2020-06-12,98.000000,106.250000,98.000000,105.300003,105.300003,92989560
2020-06-15,104.650002,104.650002,100.050003,100.500000,100.500000,69318356
2020-06-16,102.000000,103.500000,92.000000,94.750000,94.750000,215476711
2020-06-17,93.000000,96.400002,91.800003,95.400002,95.400002,110830038
2020-06-18,95.000000,97.199997,94.150002,96.349998,96.349998,58964344
2020-06-19,96.500000,103.900002,95.599998,102.500000,102.500000,135462757
2020-06-22,102.349998,104.900002,101.000000,102.650002,102.650002,68545834
2020-06-23,103.000000,106.000000,101.900002,104.400002,104.400002,68638552
2020-06-24,105.250000,110.800003,104.199997,104.800003,104.800003,125457492
2020-06-25,103.849998,106.300003,101.650002,103.800003,103.800003,63198285
2020-06-26,105.400002,106.050003,100.349998,101.400002,101.400002,56327855
2020-06-29,101.400002,101.400002,98.050003,99.449997,99.449997,43274006
2020-06-30,101.750000,102.300003,97.300003,98.250000,98.250000,50764363
2020-07-01,99.000000,101.449997,98.199997,100.750000,100.750000,50857376
2020-07-02,100.750000,102.949997,100.400002,101.550003,101.550003,48083736
2020-07-03,102.849998,106.349998,102.099998,103.449997,103.449997,87310642
2020-07-06,105.000000,109.900002,104.500000,109.000000,109.000000,91970198
2020-07-07,109.800003,112.599998,108.050003,109.050003,109.050003,85835716
2020-07-08,109.500000,110.849998,104.199997,105.349998,105.349998,55887256
2020-07-09,106.300003,108.949997,104.650002,106.949997,106.949997,54492650
2020-07-10,106.699997,108.599998,105.400002,107.599998,107.599998,64694173
2020-07-13,108.849998,112.099998,106.849998,108.000000,108.000000,81893001
2020-07-14,106.900002,107.550003,104.099998,105.150002,105.150002,46924623
2020-07-15,106.800003,106.800003,102.500000,103.199997,103.199997,49687046
2020-07-16,103.949997,103.949997,100.599998,102.949997,102.949997,44333785
2020-07-17,103.650002,106.949997,103.300003,106.400002,106.400002,42080157
2020-07-20,106.349998,106.349998,103.849998,105.050003,105.050003,39786731
2020-07-21,106.000000,109.699997,105.500000,108.449997,108.449997,66008143
2020-07-22,108.500000,109.750000,104.250000,105.150002,105.150002,50735592
2020-07-23,105.449997,106.449997,104.699997,106.050003,106.050003,30722413
2020-07-24,104.699997,105.500000,102.699997,103.750000,103.750000,39363520
2020-07-27,104.000000,104.500000,101.300003,101.699997,101.699997,29644533
2020-07-28,102.300003,107.199997,102.000000,106.449997,106.449997,64271161
2020-07-29,108.099998,108.750000,104.849998,105.750000,105.750000,44561639
